"logFC","AveExpr","t","P.Value","adj.P.Val","B","external_gene_name"
-0.686786610305255,14.5024767598732,-7.87760718775743,3.25781332230798e-06,0.000173871324961882,4.73478646037276,"TLN2"
0.921955933888439,13.8054585970593,7.81429672785248,3.5484847791703e-06,0.000184708416362231,4.64684891056612,"ENDOG"
-0.707418918197577,14.4187269178293,-7.80531387408661,3.59191442683565e-06,0.000184708416362231,4.63433057743324,"RPTOR"
-0.329885011616874,16.8195995535425,-7.80231962397761,3.6065162858666e-06,0.000184708416362231,4.63015556438642,"PRPS1"
-0.369574779210861,16.4765945199434,-7.78545079532371,3.68996907299824e-06,0.000186620185866886,4.60661326947816,"MTHFD2"
-0.364873755355255,17.8197951997718,-7.76543295085693,3.79167624147507e-06,0.00018939656880257,4.57862905925773,"SNAP91"
-0.531826080477908,15.4176245988632,-7.73242347173543,3.96596534572325e-06,0.000195686534009711,4.53237106873512,"RAB12"
-0.538573908522146,17.1871115349231,-7.71888418384775,4.03990112746959e-06,0.000196933011587252,4.51335732779791,"NUDC"
-0.594666610238047,19.5282953606849,-7.67347395778189,4.29878220037634e-06,0.000207058009318127,4.44941392312403,"ACTR1A"
-0.491217617038957,15.9227058026483,-7.65664685739938,4.39914752063445e-06,0.0002093994219822,4.42565172880203,"ALDH5A1"
-0.451924164098216,15.9234833793704,-7.60446277946743,4.72657650818775e-06,0.000222368936652647,4.35172769022762,"AKR1C2"
-0.707602776829193,14.8251760966094,-7.59292736531322,4.80239721790497e-06,0.000223339070616592,4.33533895174051,"DAPK1"
0.627096948384905,15.5427616148017,7.54460926337141,5.1343350638929e-06,0.000236062723505803,4.26650370499707,"SORBS1"
0.421698171938839,17.7886508317488,7.50940869783257,5.39148454233225e-06,0.000245100522003104,4.21616423236123,"SRM"
0.291484561041607,17.8478542117379,7.43208161446157,6.00572324760176e-06,0.000269990625108853,4.10501018272885,"SSRP1"
-0.380856373550671,17.9488990515352,-7.42042087542556,6.1046265732509e-06,0.000271421089179925,4.08818013955177,"CORO1A"
-0.785930068975459,13.9158476883636,-7.3937080892054,6.33778386046209e-06,0.000278724711950322,4.04955767336864,"TRIM67"
